iter	Logloss
0	0.6575139204
1	0.6232910062
2	0.5969446337
3	0.575190844
4	0.5524013174
5	0.534259719
6	0.5191217896
7	0.5081586529
8	0.4972290717
9	0.4867205606
10	0.4780484287
11	0.4710279391
12	0.464783889
13	0.4588714468
14	0.4523402536
15	0.44758039
16	0.4444093395
17	0.4400341781
18	0.4362810608
19	0.4334182299
20	0.4309714568
21	0.4283591805
22	0.4261083927
23	0.4235865548
24	0.4219773319
25	0.4199375222
26	0.4181971732
27	0.4164242478
28	0.4150605288
29	0.4138953419
30	0.4124653202
31	0.4114848386
32	0.4101666369
33	0.4091766477
34	0.4081504574
35	0.4070426802
36	0.4060553659
37	0.4050671929
38	0.4041986922
39	0.4034061268
40	0.402793376
41	0.4020682676
42	0.4014550852
43	0.4006744054
44	0.3999577478
45	0.3992487163
46	0.3985293045
47	0.3982856928
48	0.3976682846
49	0.3968470549
